StudentID,Gender,ParentalBackground,ExtracurricularActivities,PreviousGPA,Attendance,SelfStudy,StudyHours,CurrentGPA
8450,Female,Associate's,Yes,3.74,98.3,Yes,25,3.92
5305,Female,Bachelor's,No,3.59,88.49,No,13,3.58
4557,Female,High School,No,3.1,94.99,No,24,2.75
2098,Female,Master's,Yes,2.34,84.16,No,10,2.03
4716,Female,Bachelor's,Yes,3.01,78.7,No,9,2.64
5819,Male,Master's,Yes,3.82,91.19,Yes,7,3.74
2602,Female,Bachelor's,No,2.52,81.43,No,17,2.95
6310,Female,Associate's,No,3.65,82.97,No,10,3.95
5399,Female,High School,No,2.46,75.91,Yes,21,2.5
6327,Female,Master's,No,2.95,94.82,Yes,22,3.32
5800,Male,Associate's,Yes,2.95,87.11,Yes,12,3.24
5748,Female,Doctorate,Yes,4.0,91.09,No,5,4.0
8387,Female,High School,No,2.16,87.02,Yes,10,2.06
6772,Female,High School,No,3.64,79.08,Yes,5,4.0
8557,Male,Bachelor's,No,2.19,88.27,Yes,12,2.05
2595,Female,High School,No,2.89,83.07,Yes,22,2.92
5934,Female,High School,No,3.01,78.66,Yes,16,2.52
1480,Female,Associate's,Yes,3.69,83.43,Yes,6,4.0
1914,Male,Associate's,Yes,3.1,92.06,No,8,3.25
3954,Male,Master's,Yes,3.41,76.27,Yes,25,3.73
5722,Male,High School,Yes,3.77,95.05,Yes,6,3.34
2854,Male,Doctorate,Yes,2.75,91.79,Yes,21,3.14
2130,Female,Master's,Yes,2.35,89.25,Yes,21,2.13
9143,Male,Doctorate,Yes,2.58,97.29,Yes,21,2.7
2371,Male,High School,Yes,2.73,94.07,Yes,7,3.11
9505,Male,High School,No,3.19,97.36,No,24,3.03
1392,Female,Bachelor's,Yes,3.71,81.76,No,8,3.69
5719,Male,Bachelor's,No,2.81,95.99,Yes,10,2.77
5037,Female,Bachelor's,No,2.44,76.6,Yes,5,2.55
6652,Male,Doctorate,No,2.06,92.78,Yes,16,2.32
4866,Male,Associate's,No,3.92,84.03,Yes,17,4.0
1596,Female,Master's,Yes,3.43,83.16,No,9,3.28
5785,Female,Doctorate,Yes,2.58,95.68,No,11,2.96
5004,Male,Master's,No,2.21,87.53,No,23,2.38
3980,Male,High School,Yes,3.37,83.19,No,23,2.96
9646,Female,Master's,Yes,2.89,88.18,Yes,20,2.62
6490,Male,Doctorate,Yes,2.78,89.23,No,19,2.73
4525,Female,Bachelor's,Yes,3.23,90.14,Yes,16,3.13
3001,Male,Associate's,No,2.5,89.05,No,8,2.03
6975,Female,Master's,No,2.29,94.02,No,9,2.67
3021,Female,Doctorate,No,3.72,77.13,No,16,3.27
6341,Male,Associate's,No,3.77,76.15,Yes,19,3.42
6968,Male,Master's,No,2.77,94.93,No,22,2.87
9849,Female,Associate's,Yes,3.74,92.34,Yes,18,4.0
4961,Male,Doctorate,Yes,2.95,89.93,Yes,24,2.64
3246,Female,High School,No,3.36,75.06,Yes,17,3.07
3677,Female,Bachelor's,Yes,2.32,84.37,Yes,6,2.81
2965,Male,Master's,Yes,2.21,99.97,No,20,2.19
3606,Female,Associate's,No,3.74,87.77,Yes,18,3.89
2013,Male,High School,No,2.95,91.31,Yes,15,3.03
1874,Female,Doctorate,No,2.0,88.31,No,25,2.31
7904,Male,Master's,Yes,2.58,92.62,No,21,2.74
5378,Female,Master's,Yes,2.06,79.95,No,5,1.87
3398,Female,Master's,No,3.03,96.82,No,10,3.13
8538,Female,Master's,No,2.37,83.73,No,21,2.77
5327,Male,Bachelor's,Yes,2.36,85.39,Yes,25,2.17
9233,Female,Associate's,Yes,3.76,87.13,No,15,3.31
1731,Male,Master's,No,3.66,90.04,Yes,15,3.42
2850,Female,Master's,No,3.94,89.84,Yes,5,3.83
8128,Female,Doctorate,No,2.38,89.21,Yes,6,2.49
4011,Female,Master's,No,3.77,89.49,No,19,3.85
5792,Male,Master's,Yes,3.75,90.04,Yes,14,3.61
7653,Male,Bachelor's,No,2.22,81.22,Yes,20,2.44
1657,Male,Doctorate,Yes,2.91,95.23,Yes,23,2.78
6475,Male,Bachelor's,No,2.97,87.07,Yes,23,3.18
5460,Female,Associate's,No,2.39,92.06,Yes,11,2.83
4230,Female,Doctorate,No,2.33,79.87,Yes,24,2.31
2662,Female,High School,No,3.55,88.9,No,8,3.09
5641,Male,Associate's,Yes,3.88,96.07,Yes,24,3.89
2654,Female,Doctorate,No,3.23,98.66,No,20,3.21
4643,Female,Master's,Yes,2.09,81.46,No,25,1.98
9645,Female,High School,No,3.62,84.11,No,10,3.82
4431,Male,High School,Yes,2.15,94.93,No,21,2.03
6889,Male,Master's,Yes,2.85,91.02,No,11,3.34
6516,Male,High School,Yes,3.85,86.01,Yes,14,3.42
5672,Male,Bachelor's,No,2.42,81.33,Yes,6,2.62
1882,Male,Master's,Yes,3.65,94.09,Yes,11,3.75
8879,Male,Associate's,Yes,3.68,82.72,No,8,3.64
5506,Female,High School,No,3.85,79.6,Yes,25,3.54
6922,Female,Associate's,No,3.98,76.7,Yes,21,3.68
5481,Male,Associate's,No,3.41,95.94,Yes,7,3.4
1265,Female,Associate's,Yes,2.62,96.23,Yes,23,2.82
9419,Male,Master's,No,2.56,84.59,No,16,2.28
7046,Female,Master's,No,3.69,75.2,Yes,8,3.83
9768,Female,Master's,No,3.4,86.81,Yes,14,3.18
4118,Female,High School,Yes,3.03,90.76,Yes,23,3.31
6388,Female,Master's,Yes,2.66,88.82,No,22,2.51
7673,Male,Master's,Yes,2.93,99.22,No,24,3.38
5599,Female,Master's,No,2.53,94.7,Yes,20,2.46
4190,Male,High School,Yes,3.06,91.03,No,24,2.87
3452,Male,Doctorate,No,3.52,89.01,Yes,9,3.51
7631,Male,Master's,No,3.24,77.54,Yes,7,2.78
3714,Female,Master's,Yes,2.15,98.85,No,21,2.33
8855,Female,High School,No,2.79,78.75,No,15,2.31
9220,Female,High School,Yes,3.72,82.65,Yes,10,3.95
5987,Male,Associate's,No,3.01,98.22,Yes,8,3.29
2150,Male,High School,No,3.57,75.91,Yes,18,4.0
8203,Male,High School,Yes,3.85,93.6,No,24,3.77
2490,Male,Bachelor's,Yes,2.83,85.78,No,23,2.82
4169,Female,Doctorate,Yes,3.74,81.91,No,15,3.86
2207,Male,High School,Yes,3.36,82.23,Yes,6,3.69
2827,Female,Associate's,Yes,3.08,95.35,Yes,24,3.24
3781,Female,High School,No,2.83,93.75,No,24,2.35
9503,Male,Doctorate,No,2.83,87.67,No,21,3.21
7378,Female,Master's,Yes,2.67,86.45,No,22,2.56
7227,Female,Master's,Yes,2.96,81.97,No,6,3.11
7041,Male,High School,No,2.48,84.5,Yes,9,2.12
2836,Male,High School,No,3.72,89.89,Yes,19,3.95
1198,Female,Master's,No,3.85,80.63,No,8,3.5
4426,Female,Master's,Yes,3.23,97.25,Yes,17,3.58
3659,Female,Associate's,Yes,3.43,78.39,Yes,12,3.56
9562,Male,Associate's,Yes,2.45,82.07,No,16,2.73
6014,Male,Master's,Yes,2.59,76.27,No,16,2.52
7919,Male,Doctorate,Yes,2.95,76.33,No,16,2.62
1896,Male,Bachelor's,Yes,2.98,88.2,Yes,6,3.28
6852,Male,Doctorate,Yes,2.03,99.17,No,12,1.74
7238,Female,Master's,Yes,2.21,99.73,No,9,2.09
7522,Female,Master's,Yes,3.88,75.21,Yes,23,4.0
4520,Male,High School,No,2.79,76.94,Yes,8,2.48
7671,Female,Master's,No,2.42,85.79,No,18,2.82
3217,Male,Associate's,Yes,2.31,96.79,No,21,1.92
8561,Male,High School,Yes,3.62,99.54,Yes,13,3.48
9437,Male,Associate's,No,2.76,79.82,No,24,3.09
2312,Female,High School,No,2.71,81.85,Yes,15,2.29
3550,Male,High School,Yes,3.54,92.98,No,11,3.19
6676,Female,Master's,Yes,2.78,80.79,Yes,22,2.65
1900,Female,Doctorate,Yes,3.28,96.29,Yes,9,3.27
1697,Male,Master's,No,2.41,75.39,Yes,19,2.88
1098,Male,Bachelor's,No,3.57,92.18,Yes,11,3.49
9594,Male,Bachelor's,Yes,3.24,79.08,No,5,3.42
2762,Female,Doctorate,Yes,2.86,81.52,No,7,2.64
7094,Female,Doctorate,No,2.93,98.56,Yes,5,2.77
2041,Male,High School,No,3.37,79.6,No,21,3.57
4799,Male,Bachelor's,No,2.45,93.74,Yes,11,2.92
4976,Female,Associate's,No,2.57,91.23,Yes,25,2.48
9690,Male,Associate's,No,2.79,85.38,Yes,21,2.56
8615,Male,Master's,No,2.41,84.0,No,15,2.49
4597,Male,Associate's,No,2.98,88.94,Yes,18,3.4
2911,Male,Doctorate,No,2.57,86.65,Yes,22,2.1
8692,Female,Associate's,No,3.25,95.91,No,16,3.4
4446,Female,Bachelor's,Yes,3.92,81.4,Yes,17,4.0
5643,Male,Master's,Yes,2.59,89.1,No,8,2.41
1213,Male,Associate's,Yes,2.53,97.71,No,22,2.78
2664,Female,Doctorate,Yes,3.92,79.39,Yes,20,4.0
1754,Female,High School,No,2.38,97.93,No,12,2.5
4673,Female,Master's,No,2.02,91.02,No,8,1.67
5288,Female,High School,Yes,2.27,75.59,No,15,1.86
1771,Male,Associate's,No,2.31,87.04,No,6,1.83
7230,Female,Master's,Yes,3.69,86.67,No,11,3.23
4018,Male,Bachelor's,Yes,3.84,77.66,Yes,18,3.38
3726,Male,Master's,No,3.64,85.87,No,22,3.45
9273,Female,Doctorate,No,2.27,79.79,No,12,2.51
2627,Male,Associate's,Yes,3.77,90.13,Yes,18,4.0
1890,Female,Associate's,No,3.61,77.76,Yes,12,3.21
9426,Male,Doctorate,No,3.38,94.31,No,12,3.42
5794,Male,High School,No,3.34,88.92,Yes,21,2.85
9165,Female,Bachelor's,Yes,2.1,96.32,No,14,1.65
6072,Female,Doctorate,No,3.49,97.1,No,17,3.23
3968,Female,Associate's,No,2.22,85.48,No,7,2.71
9238,Male,High School,Yes,2.47,83.93,No,6,2.97
3042,Female,Bachelor's,Yes,2.39,92.5,Yes,17,2.51
5713,Male,Master's,Yes,3.11,81.44,No,24,3.05
1438,Female,Associate's,Yes,2.71,92.11,Yes,17,2.39
1768,Female,Master's,No,3.73,92.75,No,21,3.76
4908,Male,Master's,Yes,3.39,82.88,No,6,3.04
6863,Male,Bachelor's,Yes,3.4,88.45,No,25,3.28
3377,Male,Bachelor's,No,2.02,80.12,No,24,2.26
5077,Female,Doctorate,No,3.12,78.8,Yes,12,3.4
3190,Female,Doctorate,Yes,3.36,99.44,No,15,3.23
2829,Male,Associate's,Yes,2.47,86.91,No,14,2.85
4541,Male,Master's,Yes,3.4,81.6,No,12,3.36
4010,Female,Bachelor's,Yes,3.41,98.1,Yes,8,3.17
9692,Male,Doctorate,Yes,3.34,76.32,Yes,12,3.1
3590,Female,Bachelor's,No,3.07,92.09,Yes,22,2.89
7840,Male,Doctorate,Yes,3.58,98.44,Yes,14,3.49
8532,Female,Master's,Yes,3.23,95.06,No,24,2.87
6622,Female,Associate's,Yes,3.37,81.37,Yes,16,3.85
4634,Male,Bachelor's,Yes,2.45,99.9,Yes,16,2.71
1498,Female,Master's,Yes,3.48,82.12,No,5,3.12
6536,Female,Bachelor's,Yes,2.09,99.53,Yes,23,2.15
3603,Male,Master's,No,2.39,77.98,Yes,24,2.09
4363,Male,Doctorate,Yes,3.55,87.56,Yes,12,4.0
3158,Male,Bachelor's,Yes,2.38,91.96,No,7,2.56
5986,Female,Doctorate,Yes,3.82,98.38,Yes,9,4.0
2002,Male,High School,Yes,2.63,84.62,No,17,3.09
7451,Male,High School,No,3.56,82.14,No,18,3.81
3895,Female,Associate's,Yes,2.26,99.15,Yes,5,2.64
9132,Female,Master's,No,3.43,77.07,Yes,8,3.85
3780,Male,High School,Yes,2.27,93.7,No,24,2.48
3153,Male,Doctorate,Yes,3.25,81.98,No,9,3.28
2517,Male,Bachelor's,No,2.88,97.71,No,8,2.9
9115,Female,High School,No,3.65,99.4,Yes,13,3.32
6041,Female,Associate's,Yes,3.39,75.99,No,12,3.63
8569,Male,Master's,Yes,2.77,99.03,Yes,16,3.19
3961,Female,High School,No,2.23,78.6,Yes,14,2.1
9912,Male,Associate's,No,2.21,84.0,No,20,2.63
5820,Male,High School,No,2.2,88.67,No,23,2.69
2756,Male,Bachelor's,Yes,2.9,85.85,No,21,2.77
5764,Male,Master's,Yes,2.97,92.84,Yes,19,3.08
6456,Male,High School,Yes,3.28,88.23,Yes,17,3.54
3136,Female,Master's,Yes,2.38,90.16,Yes,21,2.85
4232,Female,Doctorate,Yes,2.55,94.63,Yes,7,3.0
4373,Female,Associate's,No,3.42,99.75,Yes,25,3.46
5780,Female,High School,Yes,2.22,92.82,Yes,16,2.32
5358,Male,Master's,No,2.15,84.55,Yes,6,2.24
1916,Female,High School,Yes,3.23,77.79,No,23,3.67
4862,Female,Associate's,Yes,3.69,82.01,No,6,4.0
6953,Female,Master's,No,2.2,83.27,Yes,9,2.29
4615,Male,Bachelor's,No,3.46,84.17,Yes,13,3.89
9791,Female,Associate's,No,2.35,92.73,Yes,15,2.08
7962,Male,Master's,Yes,3.25,88.23,Yes,10,3.35
3144,Female,Bachelor's,Yes,3.31,86.97,Yes,18,2.87
1490,Male,Bachelor's,Yes,2.41,89.52,No,5,1.92
9681,Male,Associate's,Yes,3.11,96.01,Yes,22,2.79
6636,Female,Associate's,Yes,2.89,76.01,No,8,3.19
5557,Female,Master's,No,2.81,88.54,No,25,2.43
9657,Male,Master's,No,2.03,79.73,No,7,1.66
3809,Female,High School,No,2.38,99.57,No,21,1.89
1824,Female,Bachelor's,Yes,3.93,77.05,No,22,4.0
2658,Male,Master's,Yes,3.22,77.28,No,23,3.4
2115,Male,Doctorate,Yes,3.74,75.88,Yes,9,3.49
2947,Male,High School,No,3.85,82.58,No,12,4.0
9580,Male,Master's,No,2.46,76.58,No,5,2.11
5714,Male,High School,Yes,2.34,91.62,No,8,2.14
9126,Female,Doctorate,Yes,2.77,76.62,Yes,13,2.89
2111,Female,Master's,No,3.63,77.29,Yes,20,3.74
2038,Female,High School,No,2.8,83.8,No,21,3.11
8304,Male,Master's,Yes,2.85,98.81,Yes,20,2.42
4397,Male,Master's,Yes,2.31,88.58,Yes,17,2.5
7573,Male,Associate's,No,3.69,95.51,Yes,13,3.98
7660,Male,High School,No,3.42,80.65,Yes,9,3.27
4459,Male,Bachelor's,Yes,3.2,79.74,Yes,13,2.99
6732,Male,Associate's,No,2.36,91.37,Yes,25,2.31
7613,Female,Doctorate,No,2.34,88.03,Yes,14,2.77
1654,Female,Doctorate,No,3.62,81.97,No,25,3.89
7247,Male,Doctorate,No,2.48,75.55,No,20,2.55
5026,Female,Bachelor's,Yes,3.19,83.16,No,12,3.01
9712,Female,Master's,No,2.45,88.35,No,15,2.44
4168,Male,Bachelor's,Yes,3.31,85.58,Yes,14,2.99
8503,Male,Bachelor's,Yes,2.14,76.51,No,16,1.98
7276,Female,Associate's,Yes,3.4,79.99,Yes,6,3.07
1303,Female,Bachelor's,No,2.07,78.95,Yes,24,1.61
6048,Female,Doctorate,No,3.73,82.0,No,5,4.0
6505,Male,Doctorate,Yes,2.5,83.22,Yes,24,2.29
2963,Female,Bachelor's,No,2.33,92.85,Yes,8,2.77
5784,Male,Master's,Yes,2.94,93.93,Yes,21,3.04
9097,Female,Associate's,No,2.63,80.03,No,6,2.37
1330,Male,Bachelor's,Yes,2.8,80.1,No,8,2.97
5315,Male,Associate's,No,2.48,76.65,No,13,2.65
1316,Female,Associate's,No,3.51,91.68,Yes,19,3.85
2576,Male,Doctorate,Yes,3.65,84.48,Yes,16,3.22
7792,Male,High School,No,2.9,94.16,Yes,15,2.89
4628,Female,Doctorate,No,2.72,83.95,Yes,16,2.41
5961,Male,High School,Yes,2.42,99.26,Yes,6,2.35
8459,Male,Doctorate,Yes,2.62,77.25,No,21,2.75
9476,Male,Bachelor's,Yes,2.05,79.97,No,6,1.64
7392,Male,Associate's,No,2.03,80.14,No,25,2.15
7089,Female,Associate's,No,3.16,91.19,No,10,3.41
8948,Female,High School,Yes,3.12,82.76,No,10,2.73
8576,Female,Bachelor's,No,3.13,88.69,Yes,14,2.89
5656,Male,Associate's,No,3.66,91.89,Yes,11,3.65
2800,Female,Doctorate,No,3.03,90.47,No,9,2.59
5989,Female,Doctorate,Yes,3.38,81.6,No,14,3.57
1088,Male,Master's,Yes,3.83,81.97,No,8,3.52
4387,Female,Doctorate,Yes,2.15,95.17,No,14,2.4
2585,Male,High School,No,2.63,91.51,Yes,25,2.15
8411,Female,Master's,Yes,3.25,82.75,No,12,3.19
4195,Female,Master's,No,3.27,82.34,No,9,3.53
8166,Female,Bachelor's,No,3.07,94.98,No,14,3.28
1565,Female,Bachelor's,No,2.21,87.32,No,12,2.51
1985,Male,Doctorate,Yes,2.31,84.29,Yes,5,2.5
2231,Female,Bachelor's,Yes,3.69,76.03,Yes,20,3.37
5106,Female,Associate's,No,3.39,93.92,No,25,3.01
8125,Male,Doctorate,Yes,2.22,96.7,Yes,22,2.41
6408,Female,Bachelor's,Yes,2.37,87.68,No,5,2.8
8322,Female,Master's,Yes,2.91,79.63,Yes,24,2.5
9260,Female,Doctorate,Yes,2.96,86.09,No,21,3.07
3326,Male,Bachelor's,No,2.28,98.63,Yes,5,2.02
1904,Male,Doctorate,Yes,2.22,85.72,No,14,1.88
1262,Female,High School,No,3.59,97.21,Yes,21,3.16
7180,Male,Master's,No,2.51,93.45,Yes,20,2.81
7495,Male,Master's,No,2.92,95.84,Yes,22,2.82
4835,Male,High School,Yes,2.86,97.68,Yes,6,2.87
9507,Female,Doctorate,No,3.61,96.55,Yes,8,3.14
1591,Female,Associate's,No,2.92,80.16,Yes,18,3.3
1676,Male,Master's,No,3.86,99.43,Yes,14,3.9
5479,Female,Associate's,No,3.34,76.45,No,20,3.47
3536,Male,Doctorate,No,2.49,97.99,Yes,8,2.74
3713,Male,Master's,Yes,3.46,83.78,No,7,3.75
3584,Female,High School,No,2.02,86.92,No,20,2.49
8626,Female,Doctorate,Yes,2.29,91.33,No,6,2.34
9614,Male,High School,Yes,3.57,88.03,Yes,18,3.62
3797,Female,Associate's,Yes,3.29,99.36,No,20,2.85
5299,Female,Associate's,Yes,3.75,83.92,Yes,23,4.0
1663,Male,Bachelor's,Yes,3.52,78.14,Yes,20,3.16
6169,Female,High School,Yes,3.58,86.03,No,10,3.31
7166,Male,Bachelor's,Yes,2.37,84.77,No,20,2.3
7797,Female,Doctorate,No,2.03,99.11,Yes,14,1.63
1773,Male,High School,Yes,3.84,89.4,No,18,3.76
9638,Male,High School,Yes,2.56,88.45,Yes,20,2.23
9647,Male,Doctorate,No,3.28,97.46,No,5,3.71
3125,Male,Associate's,Yes,2.81,81.27,No,6,2.49
5616,Female,High School,No,2.46,90.82,No,23,2.31
7267,Male,Doctorate,Yes,2.57,90.78,No,18,2.32
2116,Male,Master's,No,2.99,75.99,No,14,3.24
9129,Male,Bachelor's,No,2.33,81.49,No,23,1.92
5386,Female,High School,No,3.3,91.26,No,5,2.96
9391,Male,Master's,Yes,3.93,81.33,Yes,8,3.62
2617,Male,High School,Yes,3.69,94.18,No,23,3.93
4338,Male,Master's,Yes,2.81,87.08,Yes,11,2.48
9598,Male,Bachelor's,Yes,2.83,78.33,Yes,19,2.85
3458,Female,Bachelor's,Yes,3.82,97.49,Yes,22,4.0
7318,Female,High School,No,3.04,90.65,Yes,15,3.14
3698,Female,Doctorate,Yes,3.5,92.47,No,13,3.72
6024,Male,Doctorate,Yes,2.65,97.97,No,5,2.53
6264,Female,Doctorate,No,2.64,95.16,Yes,25,3.13
5718,Female,Doctorate,Yes,2.48,94.77,Yes,25,2.81
7278,Female,Doctorate,Yes,3.03,92.82,No,10,3.47
4216,Male,Master's,No,3.42,88.96,Yes,18,3.71
9777,Male,Associate's,No,2.61,85.2,No,23,2.91
1160,Male,Bachelor's,No,2.83,97.14,Yes,9,3.09
3262,Female,High School,Yes,3.46,94.35,Yes,20,3.57
5328,Female,Bachelor's,No,3.43,80.58,No,10,2.97
1273,Female,High School,No,2.72,82.29,No,13,2.51
2522,Female,Associate's,Yes,3.19,86.97,Yes,13,2.85
5879,Male,Associate's,No,2.98,88.21,No,8,2.72
2070,Female,Master's,Yes,3.91,89.91,No,19,3.69
6288,Male,Master's,Yes,3.18,81.18,Yes,17,2.69
5175,Female,Associate's,No,2.01,79.12,No,8,2.32
4792,Male,Master's,No,2.25,94.48,No,9,2.48
1348,Male,Associate's,No,2.47,79.37,Yes,23,2.07
6733,Male,Doctorate,Yes,2.25,91.84,No,20,2.28
3317,Male,Bachelor's,No,3.18,92.82,No,6,3.2
6560,Female,Associate's,Yes,2.26,78.81,Yes,21,1.99
6997,Female,Bachelor's,No,2.33,86.74,Yes,5,2.0
6142,Female,High School,Yes,3.73,90.88,No,25,3.43
5855,Female,Doctorate,No,2.91,85.6,No,23,2.63
4630,Female,Master's,No,2.38,76.44,Yes,8,2.68
1934,Female,Master's,No,3.06,82.1,No,17,3.22
9236,Male,High School,Yes,2.61,91.16,Yes,7,2.63
